,Lx,Ly,AR,thick,E,nu,D,Sx,Sxy,Sy,eig1,eig2,eig3,eig4,eig5
509,1.0,5.585585585585585,5.585585585585585,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.390900736177516,11.928197513558228,12.545658449232972,15.166964273515472,15.6253862550885
510,1.0,5.594594594594595,5.594594594594595,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.390973821416237,11.938431982611819,12.535901711907695,15.192990050868694,15.602566874366
511,1.0,5.603603603603603,5.603603603603603,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.391104358590527,11.948716567453571,12.526226430374425,15.2190709299236,15.579883757146952
512,1.0,5.612612612612613,5.612612612612613,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.391297885697261,11.95905232153367,12.516642181066278,15.245214756298997,15.557338334108099
513,1.0,5.621621621621622,5.621621621621622,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.391551091829813,11.96943822212123,12.507143196530526,15.271417963982787,15.534928315368408
514,1.0,5.63063063063063,5.63063063063063,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.391864365475834,11.979874618152476,12.497730319485573,15.297680456014868,15.512653592996411
515,1.0,5.63963963963964,5.63963963963964,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.39223713457782,11.99036113304298,12.488402501227132,15.324002159894624,15.490513024999911
516,1.0,5.648648648648648,5.648648648648648,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.392669143700655,12.000897600702032,12.479159303759866,15.350382966822522,15.468506107655378
517,1.0,5.657657657657658,5.657657657657658,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.393160075042093,12.0114838705661,12.47000018630953,15.376822780561104,15.446631641182906
518,1.0,5.666666666666667,5.666666666666667,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.393709143268326,12.022119351311934,12.46092454480868,15.403320793367218,15.424889331789796
519,1.0,5.675675675675675,5.675675675675675,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.394317323677328,12.032804909320427,12.451932302188391,15.403276346307461,15.42987985588927
520,1.0,5.684684684684685,5.684684684684685,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.394984035329019,12.043540135663163,12.443022904873473,15.381795116149322,15.456496521372205
521,1.0,5.693693693693693,5.693693693693693,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.39570765870984,12.054323666984308,12.434195454777244,15.360443072308463,15.483171527460275
522,1.0,5.702702702702703,5.702702702702703,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.39648916813984,12.065156672144484,12.42544991803389,15.339219611002996,15.509905415874229
523,1.0,5.711711711711712,5.711711711711712,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.397327876585015,12.076038527300899,12.416789240820112,15.31812626061276,15.536701341123678
524,1.0,5.7207207207207205,5.7207207207207205,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.398223777220135,12.08696904701689,12.408205897600983,15.297160719505566,15.5635562363476
525,1.0,5.72972972972973,5.72972972972973,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.399176629117159,12.097948164971031,12.399713821476173,15.276319809103434,15.590467595624066
526,1.0,5.738738738738738,5.738738738738738,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.400314421334512,12.109041305411319,12.39140068320235,15.25562351584616,15.617454483979193
527,1.0,5.747747747747748,5.747747747747748,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.401421975626397,12.120138169900665,12.383097824719128,15.235059031253213,15.644505501635148
528,1.0,5.756756756756757,5.756756756756757,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.402402159327075,12.131171444094955,12.374667364061283,15.214701107749733,15.671673590920792
529,1.0,5.7657657657657655,5.7657657657657655,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.403548502191194,12.142565605982263,12.366654092133762,15.194377095807436,15.698800476494437
530,1.0,5.774774774774775,5.774774774774775,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.404783927975682,12.153765266848893,12.358475178600417,15.174002694031424,15.72580194357564
531,1.0,5.783783783783783,5.783783783783783,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.405850738927953,12.164715097467937,12.350331482995708,15.153864767756236,15.753113467038098
532,1.0,5.792792792792793,5.792792792792793,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.407341712816928,12.176097754754851,12.342387557285381,15.13389123740724,15.78043895290454
533,1.0,5.801801801801802,5.801801801801802,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.408963864302956,12.188311185984102,12.334728851482623,15.119197569708803,15.809364010560651
534,1.0,5.8108108108108105,5.8108108108108105,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.410491022017968,12.200105819073352,12.327030417520419,15.102068088352386,15.83759641206395
535,1.0,5.81981981981982,5.81981981981982,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.411768090783662,12.210379433766066,12.318988947208156,15.074681877337758,15.862748458019524
536,1.0,5.828828828828828,5.828828828828828,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.413327634598419,12.221881411827324,12.311328133249614,15.05518246334075,15.89029546234854
537,1.0,5.837837837837838,5.837837837837838,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.414943490745095,12.233431361505424,12.3037826963642,15.035801847760348,15.917888681835654
